Year,Share of EV Claim Count by Model Year,Share of Non-EV Vehicle Claim Count by Model Year
2011,0.20%,3.60%
2012,0.50%,4.50%
2013,2.20%,5.50%
2014,2.30%,6.10%
2015,3.70%,7.20%
2016,5.20%,7.50%
2017,6.80%,8.20%
2018,18.80%,7.70%
2019,15.70%,7.90%
2020,23.20%,6.40%
2021,21.10%,3.90%
2022,0.30%,0.20%
